Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MC 1,146.84,-,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
2,MC 2,147.28,+,0.6,Tone,167.9,88.5,23,NN,FM,5,,,,,,
3,MC 3,146.94,-,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
4,MC 4,146.48,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
5,MC 5,146.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
6,MC 6,147.04,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
7,MC 7,147.56,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
8,MC 8,147.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
9,MC 9,146.46,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
10,MC 10,145.07,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
11,MC 11,432.15,,5,,88.5,88.5,23,NN,FM,25,,,,,,
12,MC 12,147.28,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
13,MC 13,440.275,+,5,TSQL,151.4,151.4,23,NN,FM,25,,,,,,
14,MC 14,446.15,,5,Tone,151.4,88.5,23,NN,FM,25,,,,,,
15,APRS,144.39,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
16,W7RAT,440.4,+,5,Tone,123,88.5,23,NN,FM,25,S,,,,,
21,CLAC 1,147.12,+,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
22,CLAC 2,147.14,+,0.6,Tone,107.2,88.5,23,NN,FM,5,S,,,,,
23,CLAC 3,146.415,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
24,CLAC 4,146.96,-,0.6,Tone,127.3,88.5,23,NN,FM,5,S,,,,,
25,CLAC 5,146.92,-,0.6,Tone,107.2,88.5,23,NN,FM,5,S,,,,,
26,CLAC 6,146.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
27,CLAC 7,442.075,+,5,Tone,103.5,88.5,23,NN,FM,25,S,,,,,
28,CLAC 8,146.56,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
29,CLAC 9,146.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
30,CLAC10,145.77,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
31,CLAC11,145.57,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
32,CLAC12,147.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
33,CLAC13,147.51,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
34,CLRK 1,147.24,+,0.6,Tone,94.8,88.5,23,NN,FM,5,,,,,,
35,CLRK 2,443.925,+,5,Tone,94.8,88.5,23,NN,FM,25,S,,,,,
36,CLRK31,443.9,+,5,Tone,94.8,88.5,23,NN,FM,25,S,,,,,
37,CLRK 3,443.125,+,5,Tone,94.8,88.5,23,NN,FM,25,S,,,,,
38,CLRK 4,147.24,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
39,CLRK 5,147.53,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
40,CLRK26,442.375,+,5,Tone,123,88.5,23,NN,FM,25,S,,,,,
41,CLRK27,443.675,+,5,Tone,107.2,88.5,23,NN,FM,25,S,,,,,
44,CLRK46,144.99,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
45,CLRK47,441.06,,5,,88.5,88.5,23,NN,FM,5,S,,,,,
46,CLRK48,144.92,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
47,CLRK49,441.525,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
48,CLRK50,144.94,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
49,CLRK51,145.03,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
50,COL 1,146.88,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,,,,,
51,COL 2,444.625,+,5,Tone,107.2,88.5,23,NN,FM,25,S,,,,,
52,COL 3,146.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
53,COL 4,147.47,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
54,COL 5,146.44,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
55,COL 6,146.68,-,0.6,Tone,114.8,88.5,23,NN,FM,5,S,,,,,
57,COL 8,145.27,-,0.6,Tone,107.2,88.5,23,NN,FM,5,S,,,,,
58,COL 9,145.25,-,0.6,Tone,114.8,88.5,23,NN,FM,5,S,,,,,
61,COL 12,144.92,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
63,MC 1,146.84,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
64,MC 2,147.28,+,0.6,Tone,167.9,88.5,23,NN,FM,5,S,,,,,
65,MC 3,146.94,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
66,MC 4,146.48,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
67,MC 5,146.4,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
68,MC 6,147.04,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
