Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Skip,Step,Comment,Tx Step,
1,146.84000,146.24000,600 kHz,Minus,FM,MC 1,None,88.5 Hz,88.5 Hz,023,Off,5 kHz,Multnomah Primary Repeater  - Command Net - Larch Mt. - WA,5 kHz,
2,147.28000,147.88000,600 kHz,Plus,FM,MC 2,Tone,167.9 Hz,88.5 Hz,023,Off,5 kHz,Multnomah Secondary Repeater - Resource Net - Mt. Scott,5 kHz,
3,146.94000,146.34000,600 kHz,Minus,FM,MC 3,None,88.5 Hz,88.5 Hz,023,Off,5 kHz,Multnomah Tertiary Repeater - Mt. Scott,5 kHz,
4,146.48000,146.48000, ,Simplex,FM,MC 4,None,88.5 Hz,88.5 Hz,023,Off,5 kHz,Multnomah Primary Simplex - Command,5 kHz,
5,146.40000,146.40000, ,Simplex,FM,MC 5,None,88.5 Hz,88.5 Hz,023,Off,5 kHz,Multnomah Secondary Simplex - Tactical,5 kHz,
6,147.04000,147.64000,600 kHz,Plus,FM,MC 6,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Multnomah Delta Repeater - KOIN Tower,5 kHz,
7,147.56000,147.56000, ,Simplex,FM,MC 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Gresham Simplex,5 kHz,
8,147.58000,147.58000, ,Simplex,FM,MC 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,NET-Tac 1 Portland Bureau of Emergency Management,5 kHz,
9,146.46000,146.46000, ,Simplex,FM,MC 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz,NET-Tac 2 Portland Bureau of Emergency Management,5 kHz,
10,145.07000,145.07000, ,Simplex,FM,MC 10,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7MCE-10 / EOC: k7mce@winlink.org - KF7LJH-10  NE PDX,5 kHz,
11,432.15000,432.15000, ,Simplex,FM,MC 11,None,88.5 Hz,88.5 Hz,023,Off,25 kHz,Multnomah UHF Simplex ,5 kHz,
12,147.28000,147.28000, ,Simplex,FM,MC 12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Resource Net Simplex if MC2 is off-line,5 kHz,
13,440.27500,445.27500,5.00 MHz,Plus,FM,MC 13,T Sql,151.4 Hz,151.4 Hz,023,Off,25 kHz,Multnomah Portable UHF Repeater - CTCSS 151.4,5 kHz,
14,446.15000,446.15000, ,Simplex,FM,MC 14,Tone,151.4 Hz,88.5 Hz,023,Off,25 kHz,Multnomah Crossband Repeater,5 kHz,
15,144.39000,144.39000, ,Simplex,FM,APRS,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Automatic Packet Reporting System,5 kHz,
16,440.40000,445.40000,5.00 MHz,Plus,FM,W7RAT,Tone,123.0 Hz,88.5 Hz,023,On,25 kHz,MMSSTV - ARES Digital - KOIN Tower,5 kHz,
21,147.12000,147.72000,600 kHz,Plus,FM,CLAC 1,Tone,100.0 Hz,88.5 Hz,023,Off,5 kHz,Clackamas Primary Repeater  [OEM Monitored]  - Mt Hood,5 kHz,
22,147.14000,147.74000,600 kHz,Plus,FM,CLAC 2,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,Clackamas Secondary Repeater,5 kHz,
23,146.41500,146.41500, ,Simplex,FM,CLAC 3,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas Primary Simplex,5 kHz,
24,146.96000,146.36000,600 kHz,Minus,FM,CLAC 4,Tone,127.3 Hz,88.5 Hz,023,On,5 kHz,Clackamas Tertiary Repeater (W7OTV),5 kHz,
25,146.92000,146.32000,600 kHz,Minus,FM,CLAC 5,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,Clackamas South County ARES Repeater,5 kHz,
26,146.58000,146.58000, ,Simplex,FM,CLAC 6,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas South County ARES Simplex,5 kHz,
27,442.07500,447.07500,5.00 MHz,Plus,FM,CLAC 7,Tone,103.5 Hz,88.5 Hz,023,On,25 kHz,Oregon City ARES Repeater,5 kHz,
28,146.56000,146.56000, ,Simplex,FM,CLAC 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Oregon City ARES Simplex,5 kHz,
29,146.50000,146.50000, ,Simplex,FM,CLAC 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Lake Oswego ARES Simplex,5 kHz,
30,145.77000,145.17000,600 kHz,Minus,FM,CLAC10,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Packet Clackamas Co. EOC (kd7zdo@w7szs.or.us.noam),5 kHz,
31,145.57000,145.57000, ,Simplex,FM,CLAC11,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS KD7ZDO-10  / Clackamas Co. EOC: kd7zdo@winlink.org,5 kHz,
32,147.50000,147.50000, ,Simplex,FM,CLAC12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas North County ARES Simplex,5 kHz,
33,147.51000,147.51000, ,Simplex,FM,CLAC13,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas West County ARES Simplex,5 kHz,
34,147.24000,147.84000,600 kHz,Plus,FM,CLRK 1,Tone,94.8 Hz,88.5 Hz,023,Off,5 kHz,EYEWARN Primary Repeater / Clark Traffic Repeater - W7AIA,5 kHz,
35,443.92500,448.92500,5.00 MHz,Plus,FM,CLRK 2,Tone,94.8 Hz,88.5 Hz,023,On,25 kHz,Clark Primary Repeater - W7AIA,5 kHz,
36,443.90000,448.90000,5.00 MHz,Plus,FM,CLRK31,Tone,94.8 Hz,88.5 Hz,023,On,25 kHz,Clark Secondary Repeater - W7AIA,5 kHz,
